sector,mode,symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl,hold_days,exit_reason
半導體,regime,2344.TW,2025-02-13,2025-02-19,15.916666984558105,19.100000381469727,20.0,10139.911892020871,6,停利
半導體,regime,2344.TW,2025-03-12,2025-03-27,20.890625,19.14974021911621,-8.333330289944838,-4483.167102300686,15,停損
半導體,regime,6415.TW,2025-02-14,2025-03-31,416.5268249511719,374.2168273925781,-10.157808578968142,-5331.739514698238,45,停損
半導體,regime,2454.TW,2025-02-03,2025-04-07,1443.068359375,1245.8489990234375,-13.666667907331789,-7838.0646581667825,63,停損
半導體,regime,2303.TW,2024-12-16,2025-05-27,38.9364013671875,43.210479736328125,10.97707599845752,6035.97384975609,162,賣出信號
半導體,regime,6415.TW,2025-05-26,2025-06-02,371.7385559082031,341.0081787109375,-8.26666395208523,-4835.623729577135,7,停損
半導體,regime,2344.TW,2025-06-18,2025-07-15,19.547657012939453,17.80677032470703,-8.905858574662183,-5466.546535949958,27,停損
半導體,regime,2344.TW,2025-08-18,2025-09-08,19.000520706176758,24.47187614440918,28.79581840330183,16166.165417157252,21,停利
半導體,regime,2344.TW,2025-09-09,2025-09-18,24.422134399414062,32.131771087646484,31.568234627426307,18004.35157353759,9,停利
半導體,regime,2344.TW,2025-09-18,2025-10-03,32.131771087646484,38.59791564941406,20.12383489266665,11528.545383093682,15,停利
半導體,regime,3034.TW,2025-09-18,2025-10-29,438.5,403.0,-8.095781071835804,-4867.5850341174955,41,停損
半導體,regime,2303.TW,2025-09-23,2026-01-07,43.900001525878906,54.099998474121094,23.23461638658332,12059.4278599124,106,停利
半導體,regime,6415.TW,2026-01-06,2026-01-20,204.70404052734375,249.80831909179688,22.033897547043402,11546.37292908255,14,停利
半導體,regime,2303.TW,2026-01-07,2026-01-20,54.099998474121094,67.80000305175781,25.323484221889874,12825.201079403458,13,停利
半導體,regime,2454.TW,2025-11-26,2026-01-23,1275.2786865234375,1630.0,27.815199706942117,15431.622081643502,58,停利
半導體,regime,2303.TW,2026-01-20,2026-01-28,67.80000305175781,75.9000015258789,11.94689986656437,6333.66324629548,8,賣出信號
半導體,regime,3034.TW,2026-01-06,2026-03-27,378.0,399.0,5.555555555555555,2540.750258152708,80,期末強制平倉
半導體,regime,6415.TW,2026-01-20,2026-03-27,249.80831909179688,293.0,17.28992896042486,8846.499779245809,66,期末強制平倉
半導體,regime,2454.TW,2026-01-23,2026-03-27,1630.0,1585.0,-2.7607361963190185,-1805.4106982870726,63,期末強制平倉
半導體,regime,2379.TW,2026-03-09,2026-03-27,484.0,494.5,2.169421487603306,859.3551553182697,18,期末強制平倉
電子,baseline,3443.TW,2019-07-12,2019-08-05,215.9806671142578,195.25758361816406,-9.594878918088929,-5068.710789438192,24,停損
電子,baseline,6669.TW,2019-08-08,2019-08-12,343.5483093261719,340.2129211425781,-0.970864385895453,-664.8556568471249,4,賣出信號
電子,baseline,3661.TW,2019-07-24,2019-08-22,95.67375183105469,121.63883209228516,27.13918892517235,11926.597537985872,29,停利
電子,baseline,2345.TW,2019-08-06,2019-09-12,124.47672271728516,151.0553741455078,21.35230655822197,9325.351552831868,37,停利
電子,baseline,3037.TW,2019-07-18,2019-09-16,34.016326904296875,41.09571075439453,20.811723352774468,9563.232655299398,60,停利
電子,baseline,3231.TW,2019-09-23,2019-09-24,19.309240341186523,19.383508682250977,0.38462590838459393,-98.38623674144765,1,賣出信號
電子,baseline,2327.TW,2019-09-27,2019-10-08,54.00164794921875,65.39347076416016,21.095324397607044,9939.557500316827,11,停利
電子,baseline,3661.TW,2019-09-19,2019-10-18,143.49581909179688,172.95521545410156,20.52979421195469,10175.959502726328,29,停利
電子,baseline,4938.TW,2019-10-17,2019-11-11,40.26700210571289,46.87275695800781,16.404883668649692,7744.484131468293,25,賣出信號
電子,baseline,2357.TW,2019-11-14,2019-11-15,150.18197631835938,150.84503173828125,0.4415013280397337,-76.56924275947677,1,賣出信號
電子,baseline,6669.TW,2020-01-09,2020-01-10,573.6924438476562,587.0341186523438,2.325579663418118,780.7174089992404,1,賣出信號
電子,baseline,3231.TW,2019-11-15,2020-01-30,21.277297973632812,20.200437545776367,-5.061076971290758,-2960.2123057875287,76,賣出信號
電子,baseline,2317.TW,2020-01-17,2020-01-30,72.25749206542969,65.05523681640625,-9.967485783345127,-4745.549891585433,13,停損
電子,baseline,2308.TW,2019-12-30,2020-03-02,132.6497039794922,120.43194580078125,-9.210543116326757,-4633.423088664669,63,停損
電子,baseline,3008.TW,2019-12-05,2020-03-12,3764.70556640625,3181.216064453125,-15.498941196352792,-8008.1061464807935,98,停損
電子,baseline,2357.TW,2020-03-02,2020-03-16,133.9371337890625,122.66517639160156,-8.41585681175852,-4442.073835262752,14,停損
電子,baseline,3008.TW,2020-03-13,2020-03-16,3245.16015625,2977.39453125,-8.251229896444343,-4110.894121299083,3,停損
電子,baseline,3443.TW,2020-04-09,2020-04-17,198.94166564941406,224.2698974609375,12.731486754593801,5601.118518499243,8,賣出信號
電子,baseline,2353.TW,2020-03-13,2020-04-30,10.050951957702637,12.126690864562988,20.652162258815597,9823.814733042607,48,停利
電子,baseline,2376.TW,2020-04-01,2020-05-14,39.02964401245117,43.78754806518555,12.190487956324983,5633.679287881358,43,賣出信號
