sector,mode,symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl,hold_days,exit_reason,entry_score,entry_indicators
半導體,B_技術+盤勢,3034.TW,2021-08-12,2021-08-24,347.1405944824219,313.32550048828125,-9.741037070169826,-5923.153022241706,12,停損,55.4285689825137,"EMA Cross,Volume,ADX,Pullback Support"
半導體,B_技術+盤勢,3711.TW,2021-06-11,2021-09-22,91.72811889648438,92.82060241699219,1.191001770940801,362.0957861280476,103,賣出信號,53.95,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2303.TW,2021-09-15,2021-10-04,51.11752700805664,47.377220153808594,-7.317073170731707,-4479.8953302614245,19,賣出信號,54.05,"EMA Cross,ADX,Pullback Support"
半導體,B_技術+盤勢,2454.TW,2021-09-10,2021-10-14,682.4630737304688,619.750244140625,-9.189190156039343,-5832.9628364978635,34,停損,63.480000000000004,"MACD,EMA Cross,Volume,Pullback Support"
半導體,B_技術+盤勢,6415.TW,2021-11-02,2021-11-24,1123.343994140625,1099.18603515625,-2.1505397376389768,-1702.3212810917976,22,賣出信號,52.324999999999996,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2303.TW,2021-11-19,2021-12-15,50.727909088134766,48.857757568359375,-3.6866323753383683,-2055.413489169565,26,賣出信號,59.83961851912302,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2454.TW,2021-11-08,2021-12-29,723.0419311523438,874.2906494140625,20.918388235197785,10292.105789537018,51,停利,50.33817267773667,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2344.TW,2021-11-03,2021-12-30,24.96283531188965,31.146291732788086,24.770649421996126,14281.965928901445,57,停利,53.4,"MACD,EMA Cross,Volume"
半導體,B_技術+盤勢,2330.TW,2021-12-28,2022-01-05,568.3153686523438,600.6583862304688,5.6910334230131,2354.8896329209674,8,賣出信號,50.645067221101655,"MACD,EMA Cross,Volume,ADX,Pullback Support"
半導體,B_技術+盤勢,6415.TW,2021-12-22,2022-01-06,1175.283447265625,1070.1966552734375,-8.941399816076617,-4628.7572776004745,15,停損,55.775,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2379.TW,2021-11-05,2022-01-11,398.1756896972656,432.8516845703125,8.708717224653057,4556.00021586434,67,賣出信號,60.39369367810146,"MACD,EMA Cross,Volume,ADX,Pullback Support"
半導體,B_技術+盤勢,3711.TW,2021-11-25,2022-01-21,83.21847534179688,81.21802520751953,-2.4038533823902064,-1457.1028127270256,57,賣出信號,56.155684531839434,"EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2330.TW,2022-01-07,2022-01-26,585.8729858398438,587.7210693359375,0.3154409813663858,-150.17039510350878,19,賣出信號,53.29436665592153,"EMA Cross,Volume,ADX,Pullback Support"
半導體,B_技術+盤勢,3034.TW,2021-11-08,2022-02-18,310.26702880859375,303.47039794921875,-2.190574643227043,-1480.5345926153968,102,賣出信號,52.324999999999996,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2344.TW,2022-02-16,2022-04-01,31.00887680053711,27.52782440185547,-11.225986742677971,-7155.7431822258295,44,停損,52.324999999999996,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,3034.TW,2022-05-03,2022-05-05,274.2447814941406,272.5456237792969,-0.619577045581833,-758.2354948765715,2,賣出信號,56.9,"MACD,Volume,ADX"
半導體,B_技術+盤勢,2344.TW,2022-05-06,2022-05-10,25.512475967407227,25.283458709716797,-0.8976677057256398,-932.3453689548696,4,賣出信號,53.4,"MACD,ADX"
半導體,B_技術+盤勢,2344.TW,2022-05-19,2022-06-13,26.840774536132812,24.50480079650879,-8.703078730009658,-5827.7146238958085,25,停損,53.4,"MACD,EMA Cross,Volume"
